aX,aY,aZ,gX,gY,gZ
0.114,0.962,-1.260,-39.429,-33.325,-156.006
0.046,0.965,-1.274,-47.913,-31.250,-167.786
0.010,0.983,-1.257,-61.768,-31.921,-179.749
-0.021,0.985,-1.199,-76.111,-36.743,-193.237
-0.028,0.939,-1.111,-85.449,-45.593,-207.275
-0.016,0.863,-1.024,-85.938,-58.044,-219.299
0.008,0.753,-0.970,-80.566,-71.960,-230.408
0.019,0.610,-0.928,-72.510,-83.679,-242.065
0.005,0.487,-0.898,-65.918,-91.370,-252.319
-0.006,0.413,-0.874,-63.354,-93.872,-259.705
0.017,0.328,-0.833,-63.843,-89.905,-267.883
0.029,0.283,-0.797,-64.514,-82.642,-280.090
0.034,0.272,-0.781,-63.965,-77.332,-295.105
0.022,0.256,-0.763,-61.157,-78.308,-310.486
-0.011,0.188,-0.724,-53.772,-86.060,-323.242
-0.025,0.095,-0.684,-40.527,-96.802,-328.247
0.027,-0.016,-0.658,-24.231,-106.995,-325.012
0.096,-0.151,-0.641,-9.094,-116.638,-319.397
0.094,-0.261,-0.630,1.282,-125.000,-314.819
0.057,-0.348,-0.632,6.897,-130.859,-311.646
0.010,-0.406,-0.647,8.972,-130.005,-307.922
-0.018,-0.438,-0.661,8.240,-121.521,-304.321
-0.007,-0.473,-0.684,5.615,-108.521,-302.612
-0.022,-0.495,-0.688,-0.977,-95.947,-307.556
-0.069,-0.533,-0.656,-9.521,-85.266,-315.857
-0.132,-0.562,-0.617,-15.503,-75.195,-320.801
-0.183,-0.578,-0.605,-16.907,-66.284,-320.435
-0.228,-0.643,-0.589,-15.015,-58.044,-313.171
-0.276,-0.700,-0.611,-12.634,-51.208,-300.415
-0.294,-0.745,-0.646,-15.320,-48.035,-283.081
-0.339,-0.784,-0.651,-23.254,-49.011,-265.564
-0.361,-0.799,-0.639,-33.875,-52.185,-247.742
-0.371,-0.819,-0.604,-44.922,-58.533,-233.032
-0.415,-0.849,-0.558,-53.772,-67.688,-224.365
-0.495,-0.867,-0.534,-57.251,-74.829,-217.285
-0.530,-0.929,-0.523,-54.321,-76.355,-209.839
-0.562,-0.996,-0.505,-49.194,-74.280,-204.712
-0.620,-1.050,-0.490,-44.373,-72.021,-200.500
-0.712,-1.115,-0.480,-39.124,-71.472,-194.153
-0.825,-1.204,-0.493,-34.241,-74.097,-182.800
-0.962,-1.333,-0.519,-33.997,-80.566,-163.757
-1.050,-1.411,-0.524,-42.542,-90.149,-134.399
-1.100,-1.438,-0.467,-59.082,-102.478,-101.257
-1.145,-1.414,-0.351,-76.050,-112.488,-74.585
-1.204,-1.367,-0.244,-84.167,-114.197,-57.556
-1.231,-1.344,-0.158,-81.665,-106.384,-45.837
-1.197,-1.344,-0.111,-72.083,-91.431,-32.898
-1.104,-1.312,-0.137,-59.753,-72.937,-17.700
-0.966,-1.272,-0.218,-49.927,-53.040,-1.892
-0.777,-1.219,-0.311,-45.959,-33.081,14.038
-0.598,-1.135,-0.408,-46.631,-15.320,27.161
-0.428,-1.070,-0.484,-47.546,-0.488,36.499
-0.267,-1.030,-0.558,-47.363,9.949,44.189
-0.146,-1.002,-0.604,-48.584,12.878,50.842
-0.028,-0.985,-0.603,-51.575,7.935,54.932
0.054,-0.960,-0.554,-53.955,-2.930,56.030
0.114,-0.951,-0.487,-52.551,-16.235,51.941
0.131,-0.951,-0.434,-47.668,-29.785,43.884
0.131,-0.946,-0.408,-41.138,-38.879,36.133
0.110,-0.951,-0.398,-34.790,-42.236,28.870
0.071,-0.974,-0.402,-29.236,-39.734,22.339
0.040,-1.002,-0.404,-25.391,-32.349,17.578
0.023,-1.022,-0.405,-23.193,-23.254,14.832
0.014,-1.033,-0.406,-21.973,-15.747,12.878
0.019,-1.043,-0.407,-21.179,-11.902,10.681
0.009,-1.038,-0.389,-20.996,-11.841,8.362
0.004,-1.022,-0.365,-19.531,-14.282,6.592
0.004,-1.002,-0.364,-15.320,-17.639,5.676
0.005,-0.991,-0.380,-9.521,-19.470,3.967
0.003,-0.987,-0.405,-3.845,-19.104,2.441
0.005,-0.987,-0.430,0.549,-17.517,2.625
0.023,-0.983,-0.456,2.563,-14.709,3.418
0.042,-0.978,-0.467,0.977,-9.705,3.052
0.068,-0.977,-0.454,-2.625,-4.272,2.441
0.095,-0.960,-0.430,-5.249,-0.671,2.258
0.119,-0.948,-0.405,-6.042,-0.244,1.709
0.129,-0.937,-0.382,-5.737,-2.197,0.366
0.122,-0.929,-0.366,-4.456,-4.700,-1.282
0.117,-0.921,-0.362,-2.380,-6.531,-2.625
0.110,-0.923,-0.356,-0.122,-7.629,-3.662
0.094,-0.933,-0.358,2.136,-7.812,-4.456
0.079,-0.939,-0.365,3.967,-7.874,-5.005
0.070,-0.951,-0.377,5.249,-7.751,-4.700
0.064,-0.953,-0.385,5.249,-7.874,-4.089
0.059,-0.944,-0.383,4.944,-8.057,-3.113
0.060,-0.933,-0.390,5.493,-8.240,-1.282
0.059,-0.923,-0.410,6.897,-7.629,0.305

-0.593,-1.805,-0.272,48.096,99.121,259.521
-0.660,-1.850,-0.281,50.659,91.614,277.405
-0.728,-1.896,-0.283,52.612,81.665,297.302
-0.802,-1.931,-0.269,53.406,70.679,313.843
-0.891,-1.926,-0.249,51.270,59.265,326.782
-0.995,-1.917,-0.220,46.814,49.011,338.928
-1.078,-1.886,-0.182,40.894,42.664,352.051
-1.146,-1.849,-0.161,33.630,41.626,367.920
-1.234,-1.754,-0.152,24.963,48.218,384.338
-1.369,-1.512,-0.146,12.939,60.852,402.405
-1.560,-1.108,-0.154,-3.906,78.552,424.988
-1.812,-0.479,-0.197,-25.757,99.854,447.754
-2.166,0.408,-0.247,-51.147,126.526,467.041
-2.601,1.506,-0.297,-71.655,163.025,479.126
-3.138,2.823,-0.376,-75.317,214.417,483.032
-3.573,3.988,-0.620,-53.894,281.616,480.042
-3.725,4.000,-1.199,-13.794,353.088,482.178
-3.249,4.000,-2.291,30.029,415.955,497.009
-1.562,4.000,-3.825,72.693,454.834,521.851
2.762,4.000,-4.000,88.745,459.717,555.786
4.000,4.000,-4.000,26.978,476.868,608.948
4.000,1.811,-4.000,100.647,415.100,419.678
4.000,1.756,-1.984,-92.468,-34.363,-10.986
0.593,2.821,0.029,-247.803,-519.958,-289.001
-1.773,1.280,0.307,-94.177,-722.351,-368.225
-2.488,-0.749,-0.031,77.393,-628.357,-364.807
-2.783,-1.518,-0.802,102.844,-285.950,-252.869
-2.392,-1.377,-1.024,-35.767,96.375,-124.390
-1.369,-0.797,-0.796,-197.510,367.859,-23.254
-0.595,-0.134,-0.522,-266.357,479.797,47.729
-0.078,0.169,-0.553,-215.393,445.129,89.905
0.291,0.295,-0.853,-94.116,286.438,110.840
0.500,0.445,-1.215,35.400,65.125,114.502
0.657,0.533,-1.477,135.864,-135.620,106.934
0.686,0.512,-1.601,185.791,-260.925,95.581
0.639,0.396,-1.628,182.251,-291.565,75.500
0.533,0.329,-1.555,130.798,-237.793,41.626
0.481,0.328,-1.397,52.185,-135.986,4.883
0.530,0.406,-1.262,-23.987,-29.297,-22.034
0.658,0.540,-1.173,-77.881,49.866,-41.931
0.781,0.685,-1.131,-102.844,82.703,-60.730
0.792,0.790,-1.151,-101.135,72.144,-78.125
0.720,0.844,-1.218,-81.909,32.410,-94.482
0.589,0.863,-1.272,-55.664,-20.325,-110.779
0.433,0.906,-1.327,-33.203,-69.092,-126.099
0.309,0.900,-1.325,-20.569,-100.342,-140.381
0.238,0.855,-1.281,-20.203,-108.948,-153.870
0.175,0.859,-1.227,-31.433,-100.769,-165.771
0.158,0.832,-1.152,-48.035,-83.923,-178.040
0.145,0.762,-1.079,-62.805,-65.674,-190.857
0.103,0.698,-1.032,-71.533,-52.490,-203.369
0.062,0.660,-0.999,-73.730,-48.889,-214.661
0.002,0.611,-0.971,-70.313,-54.565,-224.731
-0.076,0.551,-0.942,-63.660,-65.308,-231.140
-0.125,0.494,-0.893,-56.458,-76.416,-233.154
-0.083,0.438,-0.844,-49.683,-83.252,-231.873
0.008,0.359,-0.786,-44.373,-86.060,-230.469
0.109,0.221,-0.717,-38.452,-89.355,-229.980
0.206,0.064,-0.657,-31.738,-93.506,-229.431
0.269,-0.056,-0.623,-27.161,-95.398,-229.065
0.298,-0.132,-0.607,-24.536,-93.933,-231.018
0.312,-0.235,-0.598,-20.996,-89.722,-236.633
0.269,-0.309,-0.592,-16.541,-85.876,-244.873
0.190,-0.356,-0.571,-11.292,-84.961,-253.723
0.110,-0.380,-0.572,-4.517,-83.496,-257.935
0.077,-0.428,-0.599,0.793,-79.468,-255.920
0.089,-0.499,-0.609,2.563,-75.317,-250.305
0.120,-0.569,-0.593,2.808,-73.364,-243.652
0.177,-0.644,-0.571,3.662,-72.693,-237.122
0.232,-0.702,-0.551,4.517,-73.059,-231.567
0.228,-0.722,-0.541,4.333,-74.829,-231.262
0.160,-0.747,-0.536,3.235,-76.233,-233.704
0.088,-0.770,-0.531,0.427,-76.965,-232.727
0.028,-0.793,-0.516,-4.089,-76.477,-226.929
-0.010,-0.801,-0.505,-8.667,-75.562,-220.825
-0.028,-0.809,-0.498,-11.658,-73.669,-216.431
-0.028,-0.822,-0.495,-12.329,-71.411,-217.957
-0.052,-0.836,-0.491,-10.010,-69.458,-223.816
-0.083,-0.888,-0.507,-3.845,-67.566,-229.614
-0.142,-0.945,-0.543,3.479,-66.345,-231.628
-0.209,-0.976,-0.602,8.423,-66.345,-230.286
-0.275,-1.026,-0.627,10.864,-67.627,-225.891
-0.376,-1.079,-0.648,10.498,-69.946,-218.506
-0.472,-1.134,-0.657,6.470,-72.754,-204.407
-0.507,-1.163,-0.644,-1.465,-75.562,-183.411
-0.511,-1.175,-0.602,-12.634,-79.346,-163.513
-0.513,-1.170,-0.534,-23.621,-82.703,-148.743
-0.513,-1.167,-0.471,-31.494,-84.106,-137.268
-0.527,-1.161,-0.434,-35.095,-84.656,-128.540
-0.548,-1.145,-0.399,-34.546,-84.106,-120.544
-0.537,-1.148,-0.366,-30.029,-82.947,-112.061
-0.528,-1.146,-0.352,-23.193,-82.275,-103.577
-0.527,-1.124,-0.351,-16.296,-82.214,-95.520
-0.516,-1.127,-0.380,-10.498,-81.848,-86.548
-0.556,-1.151,-0.472,-8.362,-78.857,-76.660
-0.579,-1.168,-0.558,-12.512,-70.068,-63.660
-0.538,-1.165,-0.611,-23.743,-58.167,-47.913
-0.495,-1.148,-0.603,-38.330,-47.424,-36.560
-0.451,-1.103,-0.562,-49.316,-41.443,-30.090
-0.378,-1.079,-0.516,-52.368,-42.236,-25.146
-0.318,-1.063,-0.481,-49.683,-48.767,-20.996
-0.266,-1.034,-0.452,-45.288,-57.556,-15.930
-0.200,-0.995,-0.439,-39.856,-63.904,-7.935
-0.113,-0.979,-0.467,-33.447,-62.988,-2.808
-0.053,-0.972,-0.504,-29.724,-54.871,-3.052
-0.023,-0.976,-0.539,-29.236,-44.250,-4.517
-0.013,-1.000,-0.566,-30.396,-35.156,-5.737
-0.034,-1.016,-0.575,-32.288,-31.006,-8.240
-0.049,-1.022,-0.563,-32.959,-31.860,-8.545
-0.056,-1.021,-0.534,-32.410,-36.316,-6.836
-0.050,-1.001,-0.498,-30.823,-41.138,-4.761
-0.020,-0.984,-0.467,-27.893,-44.128,-1.892
0.005,-0.968,-0.435,-24.963,-44.800,-0.427
0.030,-0.954,-0.426,-21.912,-42.297,-1.099
0.048,-0.957,-0.428,-18.311,-35.950,-1.953
0.040,-0.966,-0.441,-14.954,-26.672,-3.662
0.015,-0.978,-0.464,-10.681,-17.639,-5.127
0.006,-0.988,-0.504,-6.409,-11.108,-5.615
0.007,-0.994,-0.534,-4.089,-8.667,-5.005

-2.220,1.104,-0.450,-64.148,69.580,287.292
-2.692,1.936,-0.567,-64.636,112.732,296.021
-2.896,2.703,-0.856,-50.720,174.377,319.092
-2.648,3.311,-1.369,-24.597,233.765,350.769
-1.905,3.796,-2.089,2.869,270.691,387.573
-0.523,4.000,-3.087,30.396,274.780,416.809
2.474,4.000,-4.000,41.016,259.399,451.355
4.000,4.000,-4.000,27.954,216.431,476.807
4.000,2.281,-2.249,81.055,43.823,279.480
3.084,1.660,-0.741,22.888,-249.512,-76.721
-0.132,1.080,0.045,-15.259,-427.795,-307.129
-1.846,-0.142,-0.162,9.583,-365.723,-335.022
-2.101,-1.178,-0.732,9.888,-140.564,-232.300
-1.518,-1.249,-1.182,-61.035,112.122,-100.586
-0.789,-0.636,-1.214,-162.292,281.860,-13.550
-0.070,0.083,-1.069,-210.815,335.144,38.513
0.476,0.486,-0.950,-181.763,280.273,73.059
0.797,0.620,-0.893,-101.807,151.489,81.116
0.847,0.627,-0.866,-9.033,5.737,66.711
0.690,0.549,-0.890,70.740,-102.173,43.396
0.488,0.386,-0.970,118.896,-149.475,23.987
0.332,0.210,-1.129,128.357,-142.700,9.644
0.231,0.093,-1.256,100.464,-98.938,-4.456
0.177,0.030,-1.295,48.828,-39.185,-14.771
0.210,0.025,-1.245,-5.005,10.986,-15.747
0.299,0.067,-1.125,-47.363,37.842,-11.841
0.394,0.130,-0.992,-70.862,43.640,-9.888
0.433,0.195,-0.883,-77.148,36.682,-10.010
0.451,0.236,-0.828,-71.045,27.100,-10.986
0.457,0.281,-0.840,-57.373,19.958,-13.306
0.477,0.322,-0.898,-40.955,15.015,-16.541
0.502,0.356,-0.971,-26.367,9.766,-20.020
0.525,0.401,-1.043,-16.235,1.160,-23.560
0.553,0.427,-1.108,-11.230,-8.850,-26.917
0.601,0.436,-1.154,-12.024,-16.907,-31.921
0.640,0.456,-1.184,-19.226,-18.616,-41.138
0.665,0.465,-1.190,-29.724,-15.198,-54.810
0.649,0.479,-1.179,-38.208,-11.292,-70.129
0.602,0.510,-1.167,-41.748,-11.169,-83.069
0.563,0.549,-1.141,-39.917,-16.846,-91.980
0.531,0.602,-1.114,-34.912,-26.672,-98.083
0.511,0.651,-1.083,-28.748,-38.452,-103.638
0.501,0.687,-1.049,-21.973,-50.598,-110.046
0.495,0.682,-1.008,-16.479,-61.890,-117.432
0.486,0.649,-0.970,-11.475,-71.655,-125.916
0.462,0.609,-0.951,-6.897,-78.796,-134.827
0.447,0.572,-0.954,-2.991,-83.069,-143.494
0.429,0.533,-0.996,0.244,-84.839,-150.391
0.391,0.515,-1.065,1.282,-84.229,-156.494
0.370,0.499,-1.117,-3.601,-80.322,-162.903
0.336,0.495,-1.129,-15.442,-74.097,-169.373
0.327,0.484,-1.089,-30.273,-68.665,-175.049
0.352,0.480,-1.011,-41.992,-65.979,-178.040
0.398,0.456,-0.931,-46.509,-66.956,-178.711
0.461,0.388,-0.861,-41.931,-73.242,-179.321
0.506,0.324,-0.835,-31.616,-83.008,-179.138
0.537,0.249,-0.839,-20.935,-91.919,-180.359
0.544,0.165,-0.844,-14.709,-97.900,-184.814
0.540,0.094,-0.837,-12.756,-100.098,-190.369
0.521,0.062,-0.821,-13.489,-100.220,-196.533
0.506,0.002,-0.793,-14.771,-98.450,-202.271
0.467,-0.070,-0.763,-16.174,-96.252,-207.153
0.424,-0.127,-0.748,-18.188,-95.215,-208.740
0.446,-0.201,-0.722,-21.729,-96.130,-204.285
0.512,-0.294,-0.683,-24.902,-98.755,-196.533
0.555,-0.365,-0.626,-26.855,-103.210,-190.796
0.550,-0.401,-0.564,-26.855,-108.459,-189.697
0.527,-0.441,-0.510,-23.804,-110.229,-191.528
0.502,-0.481,-0.474,-18.860,-107.178,-193.665
0.475,-0.509,-0.440,-15.503,-102.478,-197.998
0.421,-0.540,-0.403,-13.184,-97.473,-203.430
0.397,-0.554,-0.398,-11.414,-92.407,-208.862
0.366,-0.555,-0.408,-10.986,-87.646,-213.257
0.336,-0.585,-0.406,-11.108,-83.374,-216.736
0.303,-0.639,-0.391,-12.451,-79.956,-218.628
0.276,-0.659,-0.380,-13.367,-76.294,-219.482
0.263,-0.691,-0.362,-12.024,-71.289,-220.154
0.238,-0.731,-0.343,-10.437,-67.688,-221.130
0.185,-0.753,-0.315,-8.606,-68.420,-221.619
0.127,-0.773,-0.296,-5.676,-70.923,-220.581
0.108,-0.801,-0.293,-2.380,-72.754,-217.468
0.100,-0.813,-0.288,-0.427,-74.585,-213.928
0.064,-0.830,-0.262,-0.488,-76.355,-212.585
0.011,-0.847,-0.220,-0.183,-76.721,-211.548
-0.048,-0.861,-0.182,1.465,-74.524,-208.191
-0.098,-0.871,-0.155,3.967,-70.007,-203.003
-0.132,-0.884,-0.130,7.385,-63.721,-196.167
-0.142,-0.889,-0.119,12.451,-57.312,-190.002
-0.128,-0.881,-0.127,16.785,-52.063,-187.988
-0.121,-0.895,-0.107,19.409,-46.753,-192.810
-0.135,-0.913,-0.092,20.142,-37.170,-199.951
-0.181,-0.959,-0.080,19.470,-21.912,-205.383
-0.250,-1.054,-0.114,17.212,-3.662,-207.214
-0.351,-1.175,-0.185,11.475,17.212,-198.547
-0.422,-1.266,-0.279,1.160,35.156,-175.171
-0.444,-1.319,-0.373,-10.925,40.710,-141.846
-0.451,-1.331,-0.403,-20.996,28.809,-108.948
-0.479,-1.304,-0.394,-24.414,-0.732,-83.252
-0.523,-1.297,-0.384,-20.447,-42.908,-65.308
-0.592,-1.288,-0.385,-12.756,-86.304,-51.758
-0.645,-1.284,-0.389,-5.432,-116.577,-39.734
-0.632,-1.286,-0.380,-1.709,-127.380,-26.428
-0.593,-1.258,-0.375,-3.418,-119.080,-12.939
-0.519,-1.219,-0.380,-6.775,-96.680,-4.578
-0.423,-1.186,-0.420,-10.376,-69.336,-1.831
-0.346,-1.170,-0.457,-14.954,-47.424,-3.174
-0.291,-1.159,-0.480,-17.395,-34.790,-5.310
-0.228,-1.141,-0.504,-16.846,-31.921,-4.700
-0.153,-1.125,-0.537,-14.526,-35.950,-2.014
-0.090,-1.104,-0.556,-12.207,-43.396,1.709
-0.034,-1.074,-0.562,-11.047,-51.453,5.859
0.014,-1.054,-0.555,-9.521,-57.068,10.498
0.044,-1.022,-0.537,-8.789,-60.608,13.428
0.049,-1.001,-0.522,-7.446,-62.866,13.000
0.025,-0.997,-0.524,-5.066,-62.012,9.705
-0.002,-0.998,-0.537,-2.502,-57.739,5.737
-0.027,-0.995,-0.549,-1.160,-51.025,2.441
-0.038,-0.995,-0.544,-1.099,-43.518,0.854
-0.028,-0.999,-0.532,-1.160,-35.767,0.977

-2.019,1.525,-0.411,-20.569,217.590,278.503
-2.320,2.204,-0.614,-4.333,246.338,260.132
-2.443,2.808,-0.858,21.912,275.208,242.493
-2.259,3.340,-1.276,64.575,298.584,229.736
-1.709,3.697,-2.031,114.136,310.486,229.431
-0.734,3.988,-3.139,161.438,300.720,244.568
1.501,4.000,-4.000,181.396,270.142,292.725
4.000,4.000,-4.000,110.657,210.937,390.076
4.000,2.387,-3.370,123.413,73.669,368.713
3.416,1.028,-1.628,71.777,-174.988,109.497
0.967,1.498,-0.322,-42.053,-407.532,-180.237
-0.684,1.068,0.077,-51.880,-437.927,-321.777
-1.022,0.046,-0.084,-18.799,-268.005,-290.283
-0.922,-0.524,-0.537,-19.226,-26.550,-203.247
-0.631,-0.614,-0.908,-73.120,175.781,-133.240
-0.316,-0.488,-1.034,-134.216,280.945,-88.623
-0.135,-0.224,-1.021,-161.316,293.823,-53.284
0.023,-0.065,-0.928,-145.813,231.079,-22.339
0.166,0.017,-0.809,-96.802,118.103,-1.221
0.217,0.089,-0.746,-29.541,-1.587,10.437
0.225,0.155,-0.781,40.833,-91.431,16.907
0.288,0.224,-0.946,97.107,-139.343,24.841
0.417,0.307,-1.111,121.521,-148.010,31.799
0.574,0.420,-1.218,113.342,-125.061,30.029
0.731,0.545,-1.285,86.609,-85.632,17.090
0.864,0.654,-1.301,51.636,-47.241,-3.662
0.923,0.725,-1.295,18.799,-20.630,-32.227
0.906,0.751,-1.274,-5.432,-10.071,-66.711
0.760,0.751,-1.227,-20.630,-12.573,-99.121
0.597,0.728,-1.173,-26.062,-25.513,-123.352
0.472,0.667,-1.115,-24.963,-40.955,-135.315
0.408,0.583,-1.041,-21.545,-53.467,-137.512
0.390,0.503,-0.970,-17.883,-60.242,-137.695
0.390,0.445,-0.913,-16.418,-59.753,-139.038
0.418,0.404,-0.881,-17.151,-55.237,-141.724
0.468,0.373,-0.873,-20.264,-49.316,-147.095
0.507,0.346,-0.884,-23.193,-45.532,-156.494
0.478,0.338,-0.909,-23.987,-47.058,-169.434
0.447,0.327,-0.951,-22.827,-53.528,-180.176
0.457,0.284,-0.961,-22.339,-64.880,-187.866
0.461,0.250,-0.925,-22.522,-78.125,-196.167
0.464,0.209,-0.882,-22.217,-86.121,-204.651
0.507,0.134,-0.829,-21.851,-86.670,-212.463
0.569,0.082,-0.784,-22.766,-83.374,-218.811
0.629,0.061,-0.744,-23.987,-79.590,-226.501
0.674,0.029,-0.714,-23.682,-77.087,-238.037
0.655,0.004,-0.683,-21.790,-77.454,-251.465
0.601,-0.021,-0.657,-18.250,-77.393,-263.550
0.542,-0.072,-0.640,-14.038,-73.853,-271.362
0.516,-0.133,-0.641,-10.559,-68.359,-275.879
0.498,-0.182,-0.649,-8.972,-63.354,-279.602
0.482,-0.252,-0.646,-9.155,-60.974,-283.203
0.455,-0.344,-0.619,-10.254,-60.730,-286.072
0.399,-0.415,-0.595,-11.169,-61.707,-287.048
0.355,-0.447,-0.571,-11.780,-61.096,-285.583
0.335,-0.498,-0.554,-12.085,-57.312,-281.616
0.307,-0.526,-0.552,-14.648,-52.002,-278.015
0.266,-0.533,-0.533,-18.677,-48.035,-278.259
0.222,-0.551,-0.507,-21.912,-44.556,-280.273
0.159,-0.586,-0.467,-23.499,-42.358,-281.860
0.107,-0.609,-0.441,-22.095,-41.382,-280.823
0.097,-0.681,-0.427,-18.494,-39.185,-274.475
0.077,-0.746,-0.421,-15.503,-36.133,-263.855
0.054,-0.799,-0.422,-13.367,-33.386,-253.052
0.020,-0.826,-0.427,-12.390,-31.677,-242.187
-0.008,-0.848,-0.439,-12.451,-30.396,-231.262
-0.060,-0.859,-0.434,-13.794,-30.212,-222.351
-0.108,-0.860,-0.437,-14.954,-29.663,-214.050
-0.151,-0.882,-0.435,-16.113,-27.893,-204.102
-0.198,-0.891,-0.436,-18.066,-25.146,-194.031
-0.233,-0.905,-0.426,-20.020,-22.278,-182.617
-0.257,-0.928,-0.412,-20.630,-19.043,-168.945
-0.286,-0.935,-0.399,-20.508,-17.334,-154.297
-0.314,-0.946,-0.405,-18.372,-16.418,-139.282
-0.344,-0.963,-0.414,-15.686,-14.404,-125.549
-0.365,-0.974,-0.430,-14.526,-11.047,-111.938
-0.375,-0.968,-0.442,-15.076,-7.385,-100.098
-0.367,-0.969,-0.453,-15.381,-3.784,-92.102
-0.356,-0.985,-0.466,-15.442,-2.197,-87.463
-0.343,-1.001,-0.466,-16.052,-3.174,-85.693
-0.352,-1.009,-0.461,-16.785,-5.920,-85.815
-0.370,-1.025,-0.460,-16.724,-10.803,-85.754
-0.401,-1.036,-0.446,-16.418,-18.372,-84.412
-0.438,-1.044,-0.424,-14.893,-26.489,-81.299
-0.474,-1.033,-0.407,-12.268,-34.607,-75.134
-0.470,-1.022,-0.407,-9.277,-40.833,-65.857
-0.443,-1.024,-0.396,-8.057,-44.678,-56.152
-0.420,-1.018,-0.369,-9.705,-46.936,-48.828
-0.394,-0.998,-0.348,-11.475,-47.546,-42.603
-0.371,-0.989,-0.337,-12.329,-44.800,-37.598
-0.359,-0.980,-0.343,-12.390,-38.574,-34.607
-0.344,-0.957,-0.357,-12.146,-29.785,-32.471
-0.322,-0.942,-0.374,-11.169,-20.935,-30.762
-0.291,-0.935,-0.406,-9.949,-14.709,-30.640
-0.280,-0.932,-0.425,-9.399,-11.658,-31.372
-0.263,-0.936,-0.437,-9.216,-12.024,-32.959
-0.265,-0.946,-0.430,-10.193,-16.296,-32.837
-0.258,-0.947,-0.417,-10.498,-23.499,-30.945
-0.235,-0.950,-0.399,-10.681,-31.799,-26.611
-0.213,-0.946,-0.382,-11.230,-38.696,-21.973
-0.205,-0.941,-0.360,-11.597,-44.006,-18.616
-0.213,-0.936,-0.351,-10.742,-46.753,-16.418
-0.236,-0.938,-0.367,-8.545,-45.776,-15.015
-0.259,-0.946,-0.398,-6.042,-40.588,-14.221
-0.289,-0.959,-0.455,-5.127,-33.508,-13.672
-0.337,-0.978,-0.507,-7.202,-25.879,-14.404
-0.371,-0.997,-0.543,-10.559,-18.005,-14.587
-0.396,-1.009,-0.570,-13.855,-12.146,-12.756
-0.417,-1.020,-0.580,-16.235,-10.254,-9.338
-0.413,-1.025,-0.579,-18.127,-11.597,-4.639
-0.386,-1.021,-0.563,-19.409,-14.709,1.648
-0.343,-1.008,-0.526,-20.020,-19.043,7.446
-0.288,-0.993,-0.488,-19.104,-23.621,11.719
-0.241,-0.982,-0.453,-17.273,-27.100,14.465
-0.202,-0.968,-0.427,-14.832,-29.358,15.747
-0.161,-0.954,-0.419,-11.902,-28.870,16.968
-0.117,-0.948,-0.422,-9.705,-25.635,17.151
-0.086,-0.944,-0.425,-9.338,-20.752,15.259
-0.073,-0.942,-0.424,-10.254,-15.564,11.536

-0.578,-1.707,-0.309,9.338,85.449,219.360
-0.635,-1.728,-0.286,8.606,85.693,229.858
-0.701,-1.762,-0.249,7.812,83.557,238.708
-0.766,-1.777,-0.204,6.653,77.942,245.728
-0.827,-1.761,-0.163,6.287,69.092,253.235
-0.865,-1.686,-0.131,6.165,60.730,264.893
-0.886,-1.559,-0.119,5.615,56.702,282.227
-0.896,-1.393,-0.100,3.601,58.594,302.795
-0.904,-1.189,-0.086,0.305,66.528,322.510
-0.913,-0.922,-0.071,-3.540,80.688,342.163
-0.923,-0.629,-0.039,-6.104,98.938,363.831
-0.947,-0.276,-0.011,-5.005,118.530,383.850
-0.996,0.173,-0.021,-0.183,138.306,403.442
-1.084,0.687,-0.038,9.094,159.302,423.035
-1.188,1.228,-0.086,24.719,181.763,438.232
-1.344,1.843,-0.163,42.786,204.407,443.542
-1.482,2.480,-0.320,61.890,227.356,437.012
-1.625,3.121,-0.514,79.224,248.535,420.898
-1.686,3.703,-0.789,97.839,267.029,396.851
-1.637,4.000,-1.194,119.385,279.785,374.390
-1.232,4.000,-1.891,148.254,290.283,359.314
-0.244,4.000,-2.962,175.720,303.101,351.318
1.967,4.000,-4.000,182.800,329.407,357.788
4.000,4.000,-4.000,77.515,380.676,401.672
4.000,2.326,-4.000,-33.691,409.607,394.653
3.618,0.918,-2.609,-106.323,220.032,217.773
1.893,1.277,-0.902,-249.023,-133.484,7.690
0.594,1.902,0.130,-259.155,-376.221,-127.380
0.103,1.080,0.398,-143.982,-405.579,-186.401
0.103,0.182,0.257,-6.409,-291.077,-211.548
-0.210,0.040,-0.368,58.655,-113.403,-228.882
-0.408,-0.005,-0.994,53.955,64.392,-225.952
-0.313,-0.073,-1.434,13.184,197.510,-194.824
-0.095,-0.057,-1.612,-44.373,259.460,-143.738
0.169,0.038,-1.579,-95.459,235.352,-102.356
0.332,0.177,-1.427,-117.188,147.949,-85.876
0.323,0.250,-1.295,-100.342,41.565,-90.515
0.241,0.266,-1.235,-57.007,-50.293,-98.816
0.169,0.254,-1.246,-10.437,-117.371,-99.670
0.144,0.244,-1.310,21.667,-153.870,-94.727
0.157,0.240,-1.354,33.630,-161.743,-91.064
0.192,0.224,-1.333,25.757,-145.691,-92.957
0.213,0.232,-1.279,4.578,-114.868,-100.342
0.267,0.232,-1.227,-19.165,-81.970,-111.633
0.310,0.212,-1.171,-40.527,-57.251,-123.657
0.323,0.195,-1.124,-55.847,-46.570,-133.972
0.298,0.156,-1.075,-62.744,-47.974,-140.320
0.278,0.079,-1.015,-61.951,-56.335,-142.639
0.257,-0.003,-0.958,-58.228,-64.636,-141.541
