aX,aY,aZ,gX,gY,gZ
0.752,-0.349,-0.456,-358.948,-116.638,226.379
1.249,-0.337,-0.303,-285.339,-74.890,177.795

1.056,-1.013,-0.613,-86.792,-51.208,13.184
0.825,-1.095,-0.561,-76.965,-45.349,-2.502
0.632,-1.111,-0.448,-68.420,-38.208,-7.202
0.483,-1.136,-0.383,-49.988,-32.349,-11.963
0.345,-1.162,-0.399,-28.198,-26.367,-17.883
0.219,-1.179,-0.431,-12.939,-16.602,-24.658
0.125,-1.180,-0.452,-5.432,0.732,-29.297
0.096,-1.148,-0.470,-3.052,23.804,-28.503
0.120,-1.095,-0.482,-2.625,45.227,-22.095
0.188,-1.023,-0.487,-1.770,57.983,-13.245
0.256,-0.962,-0.479,0.427,60.364,-5.127
0.312,-0.902,-0.478,4.089,54.504,1.465
0.376,-0.854,-0.491,7.202,44.983,7.385
0.422,-0.809,-0.498,7.263,35.156,10.254
0.449,-0.778,-0.489,5.676,27.100,9.399
0.455,-0.751,-0.475,4.517,20.386,7.324
0.449,-0.743,-0.465,4.639,14.343,5.859
0.432,-0.747,-0.445,4.700,8.423,3.906
0.400,-0.756,-0.417,4.761,3.540,1.343
0.366,-0.759,-0.400,4.272,0.793,0.854
0.353,-0.762,-0.389,2.319,0.488,1.587
0.354,-0.762,-0.382,-1.221,1.953,2.991
0.363,-0.763,-0.384,-4.089,3.723,4.456
0.365,-0.764,-0.396,-5.920,4.395,5.798
0.369,-0.767,-0.411,-7.446,3.662,9.216
0.379,-0.763,-0.422,-8.362,1.099,11.719
0.393,-0.767,-0.426,-8.362,-3.296,12.207
0.403,-0.779,-0.421,-7.812,-9.033,12.207
0.407,-0.789,-0.411,-6.958,-15.503,13.000
0.416,-0.792,-0.403,-5.920,-21.423,14.160
0.432,-0.784,-0.406,-5.432,-25.269,15.137
0.438,-0.769,-0.408,-5.310,-25.146,15.625
0.443,-0.766,-0.419,-4.944,-20.752,14.587
0.442,-0.769,-0.442,-4.517,-13.550,12.695
0.438,-0.785,-0.461,-3.845,-6.226,10.254
0.427,-0.806,-0.481,-3.479,-0.427,8.423
0.420,-0.826,-0.485,-3.113,3.113,7.507
0.419,-0.831,-0.462,-2.319,3.418,8.118
0.441,-0.805,-0.509,0.427,-0.916,9.094
0.443,-0.834,-0.479,0.305,-0.793,7.690
0.442,-0.816,-0.470,1.221,-2.258,7.935
0.459,-0.809,-0.459,3.235,-3.113,9.705
0.479,-0.804,-0.460,5.859,-3.113,10.193
