aX,aY,aZ,gX,gY,gZ
0.305,-0.758,-0.236,-134.277,-32.288,-11.108
0.267,-0.780,-0.158,-132.690,-33.936,-16.052
0.224,-0.797,-0.115,-127.197,-34.790,-17.273
0.189,-0.806,-0.124,-120.605,-34.180,-14.038
0.161,-0.802,-0.167,-115.173,-33.508,-7.263
0.158,-0.782,-0.235,-113.464,-32.227,1.099
0.181,-0.743,-0.300,-117.737,-30.518,9.583

-0.474,1.153,-2.229,156.860,69.519,25.208
-0.521,1.181,-2.516,116.272,53.589,16.174
-0.440,0.879,-2.437,67.017,32.349,2.136
-0.316,0.436,-1.973,17.212,10.864,-15.991
-0.244,-0.076,-1.341,-18.433,-6.592,-36.621
-0.139,-0.576,-0.750,-29.175,-17.273,-52.917
-0.071,-0.877,-0.341,-24.353,-24.658,-59.265
-0.005,-1.045,-0.186,-5.005,-26.672,-53.162
0.057,-1.034,-0.275,19.348,-20.996,-34.912
0.143,-0.910,-0.523,39.001,-11.597,-10.193
0.211,-0.650,-0.773,46.936,-2.380,12.573
0.254,-0.371,-1.006,45.593,4.578,28.748
0.284,-0.132,-1.190,39.978,9.583,36.255
0.296,0.007,-1.274,31.311,11.902,33.875
0.298,0.043,-1.267,23.560,8.057,24.658
0.266,-0.004,-1.173,18.066,2.319,11.597
0.225,-0.100,-1.056,15.747,-2.075,0.305
0.211,-0.255,-0.970,16.296,-4.700,-5.798
0.192,-0.364,-0.895,17.395,-5.493,-8.606
0.178,-0.427,-0.860,18.555,-4.822,-7.935
0.176,-0.426,-0.867,19.348,-2.869,-4.272
0.160,-0.389,-0.893,19.165,0.122,0.793
0.155,-0.328,-0.962,18.433,2.319,6.836
0.158,-0.271,-1.031,15.686,3.723,11.108
0.146,-0.204,-1.092,9.583,3.235,12.512
0.135,-0.149,-1.124,3.052,1.770,11.353
0.130,-0.105,-1.130,-2.991,-1.587,7.324
0.144,-0.102,-1.131,-7.141,-6.104,1.343
0.175,-0.149,-1.100,-11.414,-10.620,-4.150
0.197,-0.202,-1.026,-16.479,-13.794,-8.362
0.205,-0.255,-0.945,-20.081,-15.015,-11.230
0.203,-0.284,-0.899,-20.447,-15.137,-11.414
0.212,-0.299,-0.905,-19.165,-14.160,-9.216
0.228,-0.292,-0.934,-18.677,-12.085,-5.920
0.235,-0.273,-0.955,-20.142,-10.376,-4.150
0.229,-0.234,-0.987,-22.461,-10.254,-3.418
0.224,-0.191,-1.021,-26.062,-9.827,-2.747
0.216,-0.148,-1.057,-31.067,-9.033,-2.502
0.213,-0.110,-1.102,-36.438,-9.827,-3.906
0.200,-0.075,-1.138,-42.419,-12.085,-7.446
0.166,-0.050,-1.154,-48.096,-16.052,-13.855
0.131,-0.034,-1.161,-53.406,-21.790,-21.362
0.095,-0.034,-1.153,-58.472,-26.917,-28.259
0.060,-0.047,-1.137,-64.026,-31.738,-33.569
0.034,-0.069,-1.117,-70.313,-35.828,-36.865
0.010,-0.089,-1.097,-76.843,-38.818,-37.415
0.006,-0.116,-1.077,-83.862,-40.955,-35.217
0.015,-0.143,-1.068,-91.614,-41.870,-31.433
0.039,-0.175,-1.056,-100.647,-41.931,-27.100
0.075,-0.215,-1.033,-110.107,-42.053,-24.658
0.111,-0.252,-1.013,-119.385,-42.786,-25.452
0.150,-0.292,-0.991,-128.296,-44.739,-29.358
0.182,-0.329,-0.949,-137.878,-46.387,-35.950
0.185,-0.342,-0.890,-146.912,-49.255,-43.884
0.165,-0.358,-0.790,-151.001,-52.124,-51.025
0.145,-0.400,-0.682,-148.376,-54.932,-55.664
0.122,-0.431,-0.609,-141.235,-57.190,-56.152
